19946837,pmendozariver@unsa.edu.pe,Pedro,Mendoza,Rivera,1999-02-14,1,1
20235691,hlopeztorres@unsa.edu.pe,Hugo,Lopez,Torres,2020-06-07,1,0
19876543,jgonzalezvargas@unsa.edu.pe,Juan,Gonzalez,Vargas,1995-09-20,1,1
20123456,cmartinezmora@unsa.edu.pe,Carla,Martinez,Mora,1998-04-12,0,1
20567890,rgutierrezperez@unsa.edu.pe,Ricardo,Gutierrez,Perez,2001-11-15,1,1
20987654,amendozariver@unsa.edu.pe,Ana,Mendoza,Rivera,1997-03-25,0,1
21345678,jtorresvargas@unsa.edu.pe,Jorge,Torres,Vargas,2000-08-10,1,0
21456789,mmartinezgomez@unsa.edu.pe,María,Martinez,Gomez,1994-12-03,0,1
21789012,rgarciafernandez@unsa.edu.pe,Raúl,Garcia,Fernandez,1992-07-22,1,1
22012345,lmendozatorres@unsa.edu.pe,Laura,Mendoza,Torres,1996-05-18,0,1
22345678,rmartinezbustos@unsa.edu.pe,Raul,Martinez,Bustos,1988-10-30,1,1
22678901,jlopezgomez@unsa.edu.pe,Julia,Lopez,Gomez,1990-03-07,0,0
23012345,pmendozarodriguez@unsa.edu.pe,Pablo,Mendoza,Rodriguez,1993-08-14,1,1
23345678,cmartinezmartinez@unsa.edu.pe,Carlos,Martinez,Martinez,1996-11-25,1,1
23678901,agomezlopez@unsa.edu.pe,Andrea,Gomez,Lopez,1999-04-05,0,1
24012345,lmendozamendoza@unsa.edu.pe,Luis,Mendoza,Mendoza,1987-01-09,1,0
24345678,smartinezlopez@unsa.edu.pe,Sofía,Martinez,Lopez,1991-06-12,0,1
24678901,rmendozagonzalez@unsa.edu.pe,Rosa,Mendoza,Gonzalez,1994-09-28,0,1
25012345,jgarciafernandez@unsa.edu.pe,Javier,Garcia,Fernandez,1998-02-17,1,1
25345678,emartinezperez@unsa.edu.pe,Enrique,Martinez,Perez,2000-07-20,1,1
25678901,lmendozatorres@unsa.edu.pe,Lucia,Mendoza,Torres,1993-04-04,0,1
26012345,amendozamartinez@unsa.edu.pe,Andrés,Mendoza,Martinez,1989-11-08,1,1
26345678,mmartinezlopez@unsa.edu.pe,Marcela,Martinez,Lopez,1992-03-31,0,1
26678901,tgomezperez@unsa.edu.pe,Toribio,Gomez,Perez,1995-10-15,1,1
27012345,cmendozagonzalez@unsa.edu.pe,Clara,Mendoza,Gonzalez,1986-12-21,0,0
27345678,vmartinezrodriguez@unsa.edu.pe,Veronica,Martinez,Rodriguez,1990-05-26,0,1
27678901,rmendozatorres@unsa.edu.pe,Ricardo,Mendoza,Torres,1988-08-03,1,1
28012345,amendozamendoza@unsa.edu.pe,Ana,Mendoza,Mendoza,1997-02-28,0,1
28345678,smartinezperez@unsa.edu.pe,Sergio,Martinez,Perez,1999-10-09,1,1
