123456789,estudiante1@example.com,Juan,Perez,Gomez,1995-08-15,Masculino,Activo
234567890,estudiante2@example.com,Maria,Rodriguez,Fernandez,1998-04-20,Femenino,Activo
345678901,estudiante3@example.com,Luis,Gonzalez,Martinez,2000-12-10,Masculino,Inactivo
456789012,estudiante4@example.com,Ana,Martinez,Lopez,1997-03-25,Femenino,Activo
567890123,estudiante5@example.com,Carlos,Ramirez,Rodriguez,1996-11-05,Masculino,Activo
123456789,estudiante1@example.com,Juan,Perez,Gomez,1995-08-15,Masculino,Activo
234567890,estudiante2@example.com,Maria,Rodriguez,Fernandez,1998-04-20,Femenino,Activo
345678901,estudiante3@example.com,Luis,Gonzalez,Martinez,2000-12-10,Masculino,Inactivo
456789012,estudiante4@example.com,Ana,Martinez,Lopez,1997-03-25,Femenino,Activo
567890123,estudiante5@example.com,Carlos,Ramirez,Rodriguez,1996-11-05,Masculino,Activo
123456789,estudiante1@example.com,Juan,Perez,Gomez,1995-08-15,Masculino,Activo
234567890,estudiante2@example.com,Maria,Rodriguez,Fernandez,1998-04-20,Femenino,Activo
345678901,estudiante3@example.com,Luis,Gonzalez,Martinez,2000-12-10,Masculino,Inactivo
456789012,estudiante4@example.com,Ana,Martinez,Lopez,1997-03-25,Femenino,Activo
567890123,estudiante5@example.com,Carlos,Ramirez,Rodriguez,1996-11-05,Masculino,Activo
123456789,estudiante1@example.com,Juan,Perez,Gomez,1995-08-15,Masculino,Activo
234567890,estudiante2@example.com,Maria,Rodriguez,Fernandez,1998-04-20,Femenino,Activo
345678901,estudiante3@example.com,Luis,Gonzalez,Martinez,2000-12-10,Masculino,Inactivo
456789012,estudiante4@example.com,Ana,Martinez,Lopez,1997-03-25,Femenino,Activo
567890123,estudiante5@example.com,Carlos,Ramirez,Rodriguez,1996-11-05,Masculino,Activo
